FECHA,Año,Mes,Día,KITENI,PS-1,PS-2,PS-3,PS-4
,2018,12,28,3.8,0.0,7.2,2.0,0.0
,2018,12,29,2.6,0.0,21.4,2.0,0.0
,2018,12,30,0.6000000000000001,0.0,2.8,0.0,0.0
,2018,12,31,4.3,0.0,6.0,0.0,0.0
,2019,1,1,6.600000000000001,0.0,10.0,6.2,0.0
,2019,1,2,0.0,0.0,16.0,4.8,2.2
,2019,1,3,1.0,39.4,0.6,0.0,0.0
,2019,1,4,8.9,41.5,14.2,0.0,0.0
,2019,1,5,6.2,10.8,14.7,10.2,4.6
,2019,1,6,0.0,3.8,1.1,0.0,0.0
,2019,1,7,5.0,57.8,24.2,6.6,4.0
,2019,1,8,12.6,16.4,3.8,2.0,0.0
,2019,1,9,4.0,5.8,8.2,2.6,0.0
,2019,1,10,12.6,39.0,12.6,22.4,20.0
,2019,1,11,17.2,141.2,12.6,6.2,2.4
,2019,1,12,10.0,2.4,9.200000000000001,18.6,10.2
,2019,1,13,1.1,1.2,10.6,10.2,6.2
,2019,1,14,0.0,41.0,0.0,6.6,2.0
,2019,1,15,1.4,0.0,11.2,2.0,0.0
,2019,1,16,27.2,2.0,17.2,16.6,6.8
,2019,1,17,5.7,8.2,12.0,4.2,2.0
,2019,1,18,21.4,16.8,26.0,12.6,8.2
,2019,1,19,3.4,2.0,4.0,4.6,2.8
,2019,1,20,0.0,2.4,0.0,4.2,2.0
,2019,1,21,13.1,46.0,3.8,22.6,12.6
,2019,1,22,11.2,0.8,10.8,0.0,0.0
,2019,1,23,19.2,43.4,17.2,0.0,0.0
,2019,1,24,12.2,3.6,10.8,0.0,0.0
,2019,1,25,21.8,40.2,22.2,0.0,0.0
,2019,1,26,18.0,0.0,20.6,10.0,8.0
,2019,1,27,0.0,0.0,2.2,0.0,0.0
,2019,1,28,1.8,0.0,2.0,18.0,2.0
,2019,1,29,6.4,0.0,4.2,14.0,9.4
,2019,1,30,0.0,17.5,1.0,10.0,5.4
,2019,1,31,20.6,23.6,11.2,14.0,4.2
,2019,2,1,4.2,9.7,7.8,10.0,14.0
,2019,2,2,0.0,36.2,4.4,0.0,0.0
,2019,2,3,21.4,21.8,18.0,20.6,12.8
,2019,2,4,42.2,9.6,29.0,39.4,33.0
,2019,2,5,13.9,20.4,25.0,6.2,2.0
,2019,2,6,15.0,39.6,14.0,2.6,4.0
,2019,2,7,18.2,23.4,26.0,14.0,9.0
,2019,2,8,2.4,10.6,3.0,2.4,2.8
,2019,2,9,9.6,2.0,20.0,4.0,1.8
,2019,2,10,13.4,0.0,31.0,4.6,3.2
,2019,2,11,0.8,13.1,18.0,0.0,0.0
,2019,2,12,24.0,10.2,34.0,18.2,17.3
,2019,2,13,0.2,2.5,0.0,4.0,0.0
,2019,2,14,0.4,2.8,0.0,0.0,1.2
,2019,2,15,4.0,19.3,44.0,8.4,7.2
,2019,2,16,4.3,41.4,11.0,6.100000000000001,5.8
,2019,2,17,27.4,26.6,37.0,13.7,14.6
,2019,2,18,9.2,86.8,40.5,14.0,20.0
,2019,2,19,2.1,6.4,6.0,3.2,5.6
,2019,2,20,74.4,2.2,5.0,12.6,9.8
,2019,2,21,7.5,16.0,40.0,16.4,10.2
,2019,2,22,0.0,0.4,3.5,0.0,0.0
,2019,2,23,25.0,20.4,24.5,26.4,18.4
,2019,2,24,33.6,0.4,90.0,0.0,0.0
,2019,2,25,1.9,26.0,7.5,18.0,5.0
,2019,2,26,2.4,11.4,4.5,4.0,2.0
,2019,2,27,30.8,120.3,15.0,2.0,0.0
,2019,2,28,71.2,38.2,52.5,2.2,0.0
,2019,3,1,1.2,14.1,2.5,6.8,4.0
,2019,3,2,0.1,4.0,0.0,2.2,0.0
,2019,3,3,0.0,0.0,0.0,0.0,0.0
,2019,3,4,19.8,0.0,16.2,0.0,0.0
,2019,3,5,8.0,2.0,22.4,0.0,0.0
,2019,3,6,20.6,17.0,11.0,16.2,10.0
,2019,3,7,0.8,14.3,6.2,17.2,16.8
,2019,3,8,0.0,0.0,0.0,4.2,3.2
,2019,3,9,20.2,0.0,57.3,34.2,23.4
,2019,3,10,3.2,2.4,2.0,0.0,0.0
,2019,3,11,0.0,3.6,2.0,18.0,15.2
,2019,3,12,0.2,0.2,0.0,2.0,0.0
,2019,3,13,1.6,30.7,4.0,8.0,2.1
,2019,3,14,17.0,7.600000000000001,63.3,3.8,2.0
,2019,3,15,10.8,20.4,38.0,4.6,0.6
,2019,3,16,7.0,0.2,15.4,4.6,0.0
,2019,3,17,0.8,2.4,8.0,8.2,4.6
,2019,3,18,37.8,0.0,13.0,10.0,2.0
,2019,3,19,13.0,6.4,17.2,15.0,17.0
,2019,3,20,19.4,56.40000000000001,42.2,10.0,8.0
,2019,3,21,6.2,35.4,7.600000000000001,27.0,3.0
,2019,3,22,6.0,22.6,15.0,0.0,2.0
,2019,3,23,9.0,62.2,15.3,6.0,0.0
,2019,3,24,28.8,1.4,22.4,10.0,4.0
,2019,3,25,7.5,43.2,9.3,12.0,2.0
,2019,3,26,19.3,33.6,13.6,2.0,0.0
,2019,3,27,3.1,21.8,12.0,16.0,8.0
,2019,3,28,3.2,0.2,4.1,26.2,12.5
,2019,3,29,5.2,9.4,6.2,6.2,4.0
,2019,3,30,0.0,8.9,0.0,2.0,0.0
,2019,3,31,0.0,2.2,0.0,0.0,0.0
,2019,4,1,0.0,76.4,5.4,2.0,0.0
,2019,4,2,0.0,5.2,3.3,6.2,0.0
,2019,4,3,0.0,11.4,6.3,0.0,0.0
,2019,4,4,0.0,55.0,18.1,2.6,0.0
,2019,4,5,0.0,9.2,2.0,0.0,0.0
,2019,4,6,0.0,35.3,0.0,0.0,0.0
,2019,4,7,0.0,1.0,0.0,8.6,4.2
,2019,4,8,0.0,0.0,0.0,4.6,2.0
,2019,4,9,0.0,0.0,0.0,0.0,0.0
,2019,4,10,0.0,0.0,0.0,0.0,0.0
,2019,4,11,0.0,0.0,0.0,0.0,0.0
,2019,4,12,0.0,63.3,0.0,0.0,0.0
,2019,4,13,0.0,14.1,0.0,2.2,0.0
,2019,4,14,0.0,0.0,0.0,0.0,0.0
,2019,4,15,0.0,0.0,0.0,2.2,0.0
,2019,4,16,0.0,8.6,10.1,0.0,0.0
,2019,4,17,0.0,6.8,6.2,0.0,0.0
,2019,4,18,0.0,0.0,0.0,0.0,0.0
,2019,4,19,0.0,0.0,8.2,0.0,0.0
,2019,4,20,0.0,7.0,103.4,16.6,10.2
,2019,4,21,0.0,0.0,8.4,0.0,0.0
,2019,4,22,0.0,25.2,5.1,0.0,0.0
,2019,4,23,0.0,18.0,0.0,0.0,0.0
,2019,4,24,0.0,16.6,29.5,0.0,0.0
,2019,4,25,0.0,2.5,0.0,2.0,0.0
,2019,4,26,0.0,5.2,0.0,0.0,0.0
,2019,4,27,0.0,0.0,0.0,0.0,0.0
,2019,4,28,0.0,10.2,3.6,0.0,0.0
,2019,4,29,0.0,7.0,63.5,0.0,0.0
,2019,4,30,0.0,0.0,0.0,0.0,0.0
,2019,5,1,5.1,17.4,3.2,0.0,0.0
,2019,5,2,0.0,26.2,0.0,0.0,0.0
,2019,5,3,0.0,0.0,0.0,0.0,0.0
,2019,5,4,0.0,0.0,0.0,0.0,0.0
,2019,5,5,28.2,11.2,7.2,6.0,2.0
,2019,5,6,0.4,1.0,0.3,0.0,0.0
,2019,5,7,0.0,0.0,0.7,0.0,0.0
,2019,5,8,0.0,5.6,15.0,0.0,0.0
,2019,5,9,0.0,0.3,15.8,2.0,0.0
,2019,5,10,0.0,2.4,6.0,0.0,0.0
,2019,5,11,0.0,0.6,8.0,0.0,0.0
,2019,5,12,11.7,0.0,105.0,13.0,6.0
,2019,5,13,1.5,17.0,11.0,3.0,0.0
,2019,5,14,5.2,5.6,0.0,14.0,8.0
,2019,5,15,0.4,0.0,0.0,23.0,17.0
,2019,5,16,0.2,0.0,8.0,2.0,0.0
,2019,5,17,0.0,0.0,0.5,0.0,0.0
,2019,5,18,0.0,0.0,0.0,0.0,0.0
,2019,5,19,0.0,0.0,0.0,0.0,0.0
,2019,5,20,0.0,17.5,0.3,0.0,0.0
,2019,5,21,0.0,8.4,0.0,0.0,0.0
,2019,5,22,0.6,0.0,0.4,0.0,0.0
,2019,5,23,0.8,0.0,2.0,0.0,0.0
,2019,5,24,10.0,37.6,12.2,0.0,0.0
,2019,5,25,0.0,0.9,1.5,0.0,0.0
,2019,5,26,0.0,0.0,1.4,0.0,0.0
,2019,5,27,0.0,0.0,0.4,0.0,0.0
,2019,5,28,0.0,0.0,1.1,0.0,0.0
,2019,5,29,0.0,0.0,0.4,0.0,0.0
,2019,5,30,0.0,0.0,0.2,0.0,0.0
,2019,5,31,0.0,0.0,0.0,0.0,0.0
,2019,6,1,1.0,9.8,1.4,0.0,0.0
,2019,6,2,4.9,2.5,0.0,0.0,0.0
,2019,6,3,8.0,28.0,0.0,0.0,0.0
,2019,6,4,0.6,0.4,3.1,0.0,0.0
,2019,6,5,0.0,0.0,0.3,0.0,0.0
,2019,6,6,0.0,2.4,0.0,0.0,0.0
,2019,6,7,0.0,0.0,3.0,0.0,0.0
,2019,6,8,0.0,0.0,0.0,0.0,0.0
,2019,6,9,0.0,0.0,0.0,0.0,0.0
,2019,6,10,0.0,0.0,0.0,2.0,0.0
,2019,6,11,0.0,0.0,0.0,0.6,0.0
,2019,6,12,0.0,0.0,0.0,0.0,0.0
,2019,6,13,0.0,0.0,0.0,0.0,0.0
,2019,6,14,0.0,0.0,0.0,0.0,0.0
,2019,6,15,0.0,25.0,15.0,0.0,0.0
,2019,6,16,34.4,52.4,2.0,0.0,0.0
,2019,6,17,36.2,4.4,18.0,8.8,0.4
,2019,6,18,0.0,0.0,0.0,0.0,0.0
,2019,6,19,0.0,0.0,1.0,0.0,0.0
,2019,6,20,3.0,0.0,46.0,6.4,4.2
,2019,6,21,15.0,0.0,51.0,0.0,0.0
,2019,6,22,0.0,0.0,0.0,0.0,0.0
,2019,6,23,0.0,0.0,0.0,0.0,0.0
,2019,6,24,0.0,0.0,0.0,0.0,0.0
,2019,6,25,0.0,0.0,0.0,0.0,0.0
,2019,6,26,0.0,19.0,0.0,0.0,0.0
,2019,6,27,0.0,0.0,0.0,0.0,0.0
,2019,6,28,45.0,0.0,6.0,0.0,0.0
,2019,6,29,3.4,18.0,20.0,4.2,0.0
,2019,6,30,0.0,0.0,0.0,0.0,0.0
,2019,7,1,0.0,0.0,0.0,0.0,0.0
,2019,7,2,11.0,0.0,2.0,0.0,0.0
,2019,7,3,0.0,0.0,3.0,0.0,0.0
,2019,7,4,0.0,15.0,0.0,0.0,0.0
,2019,7,5,5.3,0.0,0.0,0.0,0.0
,2019,7,6,5.8,12.8,6.0,0.0,0.0
,2019,7,7,3.1,3.0,0.0,0.0,0.0
,2019,7,8,0.0,0.0,0.0,2.0,0.0
,2019,7,9,0.0,0.0,0.0,2.6,0.0
,2019,7,10,0.0,0.0,0.0,0.0,0.0
,2019,7,11,0.0,0.0,0.0,0.0,0.0
,2019,7,12,0.0,0.0,0.0,0.0,0.0
,2019,7,13,0.0,0.0,0.0,0.0,0.0
,2019,7,14,0.0,0.0,3.2,0.0,0.0
,2019,7,15,0.0,0.0,0.0,0.0,0.0
,2019,7,16,0.0,0.0,13.1,0.0,0.0
,2019,7,17,0.0,30.2,10.4,10.8,3.6
,2019,7,18,0.0,0.0,0.0,3.8,1.0
,2019,7,19,0.6,0.8,1.3,0.0,0.0
,2019,7,20,0.0,0.0,0.0,4.2,0.0
,2019,7,21,0.0,0.0,0.0,0.0,0.0
,2019,7,22,0.0,0.0,0.0,0.0,0.0
,2019,7,23,12.6,2.6,2.8,0.0,0.0
,2019,7,24,9.2,3.0,7.5,12.8,4.2
,2019,7,25,4.4,0.0,2.4,7.2,10.0
,2019,7,26,0.0,2.0,0.0,0.0,0.0
,2019,7,27,0.0,0.0,0.0,0.0,0.0
,2019,7,28,0.0,0.0,0.0,0.0,0.0
,2019,7,29,0.0,0.0,0.0,0.0,0.0
,2019,7,30,0.0,0.0,0.0,0.0,0.0
,2019,7,31,0.0,0.0,0.0,0.0,0.0
,2019,8,1,0.0,0.0,0.0,0.0,0.0
,2019,8,2,0.0,0.0,0.0,0.0,0.0
,2019,8,3,0.0,120.4,0.0,0.0,0.0
,2019,8,4,0.0,3.4,0.0,4.6,0.0
,2019,8,5,0.0,0.0,0.0,0.0,0.0
,2019,8,6,0.0,0.0,0.0,0.0,0.0
,2019,8,7,0.0,0.0,0.0,0.0,0.0
,2019,8,8,0.0,0.0,0.0,0.0,0.0
,2019,8,9,0.0,0.0,0.0,0.0,0.0
,2019,8,10,0.0,0.0,0.0,0.0,0.0
,2019,8,11,0.0,0.0,0.0,0.0,0.0
,2019,8,12,0.0,0.0,0.0,0.0,0.0
,2019,8,13,0.0,10.8,0.0,0.0,0.0
,2019,8,14,0.0,0.0,1.2,0.0,0.0
,2019,8,15,1.8,0.0,0.0,0.0,0.0
,2019,8,16,0.0,0.0,0.0,0.0,0.0
,2019,8,17,0.0,0.0,0.0,0.0,0.0
,2019,8,18,0.0,0.0,0.0,0.0,0.0
,2019,8,19,0.0,0.0,0.0,0.0,0.0
,2019,8,20,0.0,0.0,0.0,0.0,0.0
,2019,8,21,0.0,28.0,0.0,0.0,0.0
,2019,8,22,0.0,0.0,0.0,0.0,0.0
,2019,8,23,0.0,0.0,0.0,0.0,0.0
,2019,8,24,0.0,0.0,0.0,0.0,0.0
,2019,8,25,0.0,0.0,0.0,0.0,0.0
,2019,8,26,0.0,16.0,0.0,0.0,0.0
,2019,8,27,0.0,0.0,0.0,0.0,0.0
,2019,8,28,0.0,0.0,0.0,0.0,0.0
,2019,8,29,0.0,0.0,0.0,0.0,0.0
,2019,8,30,0.0,0.0,0.0,0.0,0.0
,2019,8,31,0.0,0.0,0.0,0.0,0.0
,2019,9,1,0.0,0.0,4.0,0.0,0.0
,2019,9,2,0.0,0.0,10.0,0.0,0.0
,2019,9,3,0.0,0.0,0.0,0.0,0.0
,2019,9,4,17.2,5.2,18.0,20.4,3.2
,2019,9,5,0.0,2.0,0.0,7.2,2.0
,2019,9,6,0.0,0.0,0.0,3.0,0.0
,2019,9,7,0.0,0.0,0.0,1.0,0.0
,2019,9,8,0.0,0.0,0.0,0.0,0.0
,2019,9,9,0.0,0.0,0.0,0.0,0.0
,2019,9,10,0.0,0.0,0.0,0.0,0.0
,2019,9,11,16.9,0.0,0.0,1.0,0.0
,2019,9,12,0.8,0.0,6.0,0.0,0.0
,2019,9,13,0.0,0.0,0.0,6.0,0.0
,2019,9,14,0.0,2.0,0.0,0.0,0.0
,2019,9,15,0.0,0.0,0.0,0.0,0.0
,2019,9,16,0.0,0.0,0.0,0.0,0.0
,2019,9,17,0.0,0.0,0.0,0.0,0.0
,2019,9,18,0.0,0.0,0.0,0.0,0.0
,2019,9,19,0.0,0.0,2.5,0.0,0.0
,2019,9,20,0.0,0.0,54.8,0.0,0.0
,2019,9,21,15.5,60.2,43.3,14.0,4.0
,2019,9,22,18.4,9.2,22.4,8.0,6.0
,2019,9,23,0.0,0.0,0.0,1.0,1.0
,2019,9,24,0.0,0.0,0.0,1.0,1.0
,2019,9,25,0.0,0.0,0.0,19.2,20.0
,2019,9,26,0.0,10.4,38.5,0.0,2.0
,2019,9,27,7.2,6.5,2.1,1.0,2.0
,2019,9,28,0.0,0.0,0.0,5.6,6.0
,2019,9,29,1.5,8.0,5.2,0.0,0.0
,2019,9,30,0.0,0.0,1.1,15.6,2.8
,2019,10,1,0.8,0.0,0.0,16.2,6.2
,2019,10,2,4.6,13.6,8.4,3.2,0.2
,2019,10,3,0.2,0.0,0.0,3.8,0.3
,2019,10,4,18.0,2.0,48.3,6.4,5.600000000000001
,2019,10,5,25.2,1.0,22.4,0.2,0.2
,2019,10,6,18.4,10.0,6.6,0.4,1.2
,2019,10,7,7.0,132.0,32.6,8.4,0.4
,2019,10,8,0.0,3.0,0.0,0.0,0.2
,2019,10,9,0.0,0.0,0.0,0.0,0.2
,2019,10,10,0.0,0.0,0.0,0.0,0.0
,2019,10,11,47.0,0.0,14.2,6.4,2.0
,2019,10,12,0.6,20.0,0.0,0.0,0.0
,2019,10,13,2.8,12.2,0.0,12.0,4.0
,2019,10,14,1.0,0.0,7.399999999999999,0.0,0.0
,2019,10,15,11.2,0.0,64.3,2.0,0.0
,2019,10,16,7.0,4.0,11.1,9.0,4.0
,2019,10,17,14.4,1.0,8.1,12.0,2.0
,2019,10,18,3.8,0.0,7.4,8.0,2.6
,2019,10,19,9.6,0.0,38.2,10.0,4.0
,2019,10,20,25.4,33.4,1.4,0.0,0.0
,2019,10,21,2.0,4.0,0.0,0.0,0.0
,2019,10,22,1.2,7.6,2.2,0.0,0.0
,2019,10,23,2.6,10.4,1.4,0.0,0.0
,2019,10,24,0.0,1.0,0.0,0.0,0.0
,2019,10,25,0.0,0.0,0.0,0.0,0.0
,2019,10,26,0.3,14.6,0.0,0.0,0.0
,2019,10,27,18.4,2.4,6.0,0.0,0.0
,2019,10,28,0.0,3.4,0.0,0.0,0.0
,2019,10,29,0.0,1.2,0.8,0.0,0.0
,2019,10,30,0.0,15.0,0.0,0.0,0.0
,2019,10,31,0.4,36.0,0.0,2.0,0.0
,2019,11,1,11.8,0.2,26.2,12.0,2.0
,2019,11,2,0.0,0.0,0.8,0.0,0.0
,2019,11,3,63.6,0.0,9.0,0.0,0.0
,2019,11,4,4.600000000000001,0.0,8.0,8.0,2.0
,2019,11,5,14.6,64.2,32.6,4.0,0.0
,2019,11,6,0.4,2.0,0.6,0.0,0.0
,2019,11,7,7.8,43.0,1.0,6.0,0.0
,2019,11,8,21.6,28.0,8.2,0.0,0.0
,2019,11,9,1.8,0.0,3.6,0.0,0.0
,2019,11,10,4.0,3.2,0.0,0.0,0.0
,2019,11,11,28.4,46.4,18.8,18.0,15.0
,2019,11,12,2.8,4.4,2.6,20.0,20.0
,2019,11,13,0.0,0.0,1.8,3.0,4.0
,2019,11,14,0.0,0.0,0.0,0.0,0.0
,2019,11,15,63.4,1.2,16.8,5.0,4.0
,2019,11,16,32.4,34.0,31.4,5.0,4.0
,2019,11,17,1.4,0.0,9.1,0.0,0.0
,2019,11,18,0.0,0.0,0.0,3.5,3.0
,2019,11,19,1.2,0.0,2.3,7.0,0.0
,2019,11,20,28.6,0.0,9.4,10.0,6.0
,2019,11,21,2.2,10.2,1.2,0.0,0.0
,2019,11,22,1.2,0.0,0.0,0.0,0.0
,2019,11,23,0.0,11.6,0.0,2.0,0.0
,2019,11,24,21.8,5.6,45.6,12.0,8.0
,2019,11,25,2.4,62.4,2.1,4.0,2.0
,2019,11,26,0.0,0.0,1.2,2.0,0.0
,2019,11,27,1.8,12.5,1.6,0.0,0.0
,2019,11,28,0.0,8.0,1.2,0.0,0.0
,2019,11,29,2.2,4.2,4.2,6.0,2.0
,2019,11,30,13.0,1.6,2.4,0.0,0.0
,2019,12,1,8.4,17.0,0.0,0.0,0.0
,2019,12,2,17.4,0.0,0.0,4.0,0.0
,2019,12,3,42.8,42.9,14.0,2.0,0.0
,2019,12,4,6.9,19.6,17.0,0.0,0.0
,2019,12,5,3.8,5.4,8.0,10.0,2.0
,2019,12,6,18.8,20.6,3.0,2.0,0.0
,2019,12,7,0.8,1.0,0.0,4.0,2.0
,2019,12,8,5.0,16.1,15.0,8.0,0.0
,2019,12,9,2.6,16.6,32.0,0.0,0.0
,2019,12,10,1.2,65.0,1.6,2.0,0.0
,2019,12,11,0.6,57.4,0.0,8.0,2.0
,2019,12,12,10.6,10.6,7.0,4.0,0.0
,2019,12,13,1.6,10.9,0.0,2.0,0.0
,2019,12,14,5.1,10.7,0.0,4.0,0.0
,2019,12,15,0.4,18.2,0.0,8.0,2.0
,2019,12,16,2.7,4.8,0.0,4.0,0.0
,2019,12,17,3.2,5.0,34.9,0.0,0.0
,2019,12,18,15.0,116.0,6.4,2.0,0.0
,2019,12,19,6.1,94.2,17.4,18.0,4.0
,2019,12,20,2.6,50.4,3.5,0.0,0.0
,2019,12,21,21.2,2.2,8.3,6.0,7.600000000000001
,2019,12,22,19.8,1.0,48.40000000000001,28.0,14.0
,2019,12,23,4.8,1.0,8.5,5.2,15.2
,2019,12,24,36.4,3.4,58.2,26.6,23.0
,2019,12,25,5.0,1.0,7.9,3.2,3.6
,2019,12,26,23.4,3.4,56.6,16.0,6.2
,2019,12,27,4.6,6.4,62.40000000000001,0.4,0.6000000000000001
,2019,12,28,8.1,103.6,3.0,0.0,0.0
,2019,12,29,4.6,30.0,16.5,12.0,11.0
,2019,12,30,4.2,72.2,14.0,4.0,2.0
,2019,12,31,2.4,20.0,4.4,1.0,2.0
,